id,category,createdAt,updatedAt,amount,description
EX0001,CAT0001,15/10/2025 12:30,15/10/2025,280000,Ăn trưa nhà hàng
EX0002,CAT0002,18/10/2025 08:00,18/10/2025,65000,Taxi đi làm
EX0003,CAT0004,20/10/2025 15:00,20/10/2025,750000,Mua áo khoác mùa đông
EX0004,CAT0005,22/10/2025 10:30,22/10/2025,350000,Khám răng
EX0005,CAT0010,01/10/2025 09:00,01/10/2025,5e+06,Tiền thuê nhà tháng 10
EX0006,CAT0001,12/11/2025 13:00,12/11/2025,140000,Cơm văn phòng
EX0007,CAT0003,15/11/2025 19:30,15/11/2025,200000,Vé xem phim
EX0008,CAT0006,18/11/2025 14:30,18/11/2025,480000,Mua sách tham khảo
EX0009,CAT0002,20/11/2025 18:00,20/11/2025,45000,Xe bus về nhà
EX0010,CAT0010,01/11/2025 09:00,01/11/2025,5e+06,Tiền thuê nhà tháng 11
EX0011,CAT0001,16/12/2025 12:30,16/12/2025,250000,Ăn trưa nhà hàng
EX0012,CAT0002,17/12/2025 08:00,17/12/2025,50000,Taxi đi làm
EX0013,CAT0003,18/12/2025 19:30,18/12/2025,180000,Vé xem phim
EX0014,CAT0004,19/12/2025 15:00,19/12/2025,800000,Mua giày thể thao
EX0015,CAT0010,01/12/2025 09:00,01/12/2025,5e+06,Tiền thuê nhà tháng 12
EX0016,CAT0001,21/12/2025 09:44,21/12/2025,10000,
