id,category,createdAt,updatedAt,amount,description
IN0001,CAT0007,01/10/2025 08:30,01/10/2025,1.5e+07,Lương tháng 10
IN0002,CAT0009,03/10/2025 14:00,03/10/2025,500000,Tiền lãi tiết kiệm
IN0003,CAT0007,05/10/2025 16:00,05/10/2025,2e+06,Làm thêm dự án freelance
IN0004,CAT0007,08/10/2025 10:30,08/10/2025,800000,Bán đồ cũ
IN0005,CAT0008,12/10/2025 09:00,12/10/2025,1.5e+06,Thưởng hiệu suất
IN0006,CAT0009,15/10/2025 11:30,15/10/2025,3e+06,Tiền chia cổ tức
IN0007,CAT0007,18/10/2025 14:30,18/10/2025,600000,Dạy kèm
IN0008,CAT0009,22/10/2025 16:00,22/10/2025,1.2e+06,Tiền lãi ngân hàng
IN0009,CAT0007,25/10/2025 09:30,25/10/2025,2.5e+06,Bán ảnh stock
IN0010,CAT0007,28/10/2025 13:00,28/10/2025,1e+06,Tiền thuê phòng
IN0011,CAT0007,01/11/2025 08:30,01/11/2025,1.5e+07,Lương tháng 11
IN0012,CAT0009,02/11/2025 10:00,02/11/2025,500000,Tiền lãi tiết kiệm
IN0013,CAT0007,04/11/2025 15:30,04/11/2025,3.5e+06,Dự án website
IN0014,CAT0007,07/11/2025 11:00,07/11/2025,1.2e+06,Làm thêm cuối tuần
IN0015,CAT0008,10/11/2025 14:00,10/11/2025,2e+06,Thưởng dự án hoàn thành
IN0016,CAT0007,13/11/2025 09:30,13/11/2025,800000,Bán laptop cũ
IN0017,CAT0007,16/11/2025 16:00,16/11/2025,1.5e+06,Tư vấn kỹ thuật
IN0018,CAT0007,19/11/2025 10:30,19/11/2025,600000,Dạy online
IN0019,CAT0007,22/11/2025 13:30,22/11/2025,2.2e+06,Làm thiết kế đồ họa
IN0020,CAT0007,25/11/2025 15:00,25/11/2025,1e+06,Tiền thuê phòng
IN0021,CAT0007,28/11/2025 11:30,28/11/2025,900000,Viết bài thuê
IN0022,CAT0007,01/12/2025 08:30,01/12/2025,1.5e+07,Lương tháng 12
IN0023,CAT0009,02/12/2025 10:00,02/12/2025,500000,Tiền lãi tiết kiệm
IN0024,CAT0008,05/12/2025 14:30,05/12/2025,5e+06,Thưởng cuối năm
IN0025,CAT0007,08/12/2025 16:00,08/12/2025,2.5e+06,Dự án mobile app
IN0026,CAT0007,10/12/2025 09:00,10/12/2025,1.8e+06,Làm thêm lễ Tết
IN0027,CAT0009,12/12/2025 11:30,12/12/2025,3e+06,Tiền chia lợi nhuận cổ phiếu
IN0028,CAT0007,15/12/2025 13:00,15/12/2025,1.2e+06,Dạy kèm học sinh
IN0029,CAT0007,17/12/2025 15:30,17/12/2025,2e+06,Tư vấn doanh nghiệp
IN0030,CAT0007,19/12/2025 10:00,19/12/2025,1.5e+06,Bán khóa học online
IN0031,CAT0007,20/12/2025 14:00,20/12/2025,1e+06,Tiền thuê phòng
IN0032,CAT0007,21/12/2025 16:30,21/12/2025,800000,Làm video YouTube
